Player,Salary,Ht,Exp,expsq
Bruno Caboclo,1589640,6.75,2,4
DeMarre Carroll,14200000,6.67,7,49
DeMar DeRozan,26540100,6.58,7,49
Serge Ibaka,12250000,6.83,7,49
Cory Joseph,7330000,6.25,5,25
Kyle Lowry,12000000,6,10,100
Lucas Nogueira,1921320,7,2,4
Patrick Patterson,6050000,6.75,6,36
Jakob Poeltl,2703960,7,0,0
Norman Powell,874636,6.33,1,1
Pascal Siakam,1196040,6.75,0,0
P.J. Tucker,5300000,6.5,5,25
Jonas Valanciunas,14382022,7,4,16
Fred VanVleet,543471,6,0,0
Delon Wright,1577280,6.42,1,1
Avery Bradley,8269663,6.17,6,36
Jaylen Brown,4743000,6.58,0,0
Jae Crowder,6286408,6.5,4,16
Gerald Green,1410598,6.58,9,81
Al Horford,26540100,6.83,9,81
Demetrius Jackson,1450000,6.08,0,0
Jonas Jerebko,5000000,6.83,6,36
Amir Johnson,12000000,6.75,11,121
Jordan Mickey,1223653,6.67,1,1
Kelly Olynyk,3094014,7,3,9
Terry Rozier,1906440,6.17,1,1
Marcus Smart,3578880,6.33,2,4
Isaiah Thomas,6587132,5.75,5,25
James Young,1825200,6.5,2,4
Tyler Zeller,8000000,7,4,16
Justin Anderson,1514160,6.5,1,1
Jerryd Bayless,9424084,6.25,8,64
Robert Covington,1015696,6.75,3,9
Joel Embiid,4826160,7,0,0
Justin Harper,57672,6.83,2,4
Gerald Henderson,9000000,6.42,7,49
Richaun Holmes,1025831,6.83,1,1
Shawn Long,96969,6.75,0,0
Timothe Luwawu-Cabarrot,1326960,6.5,0,0
T.J. McConnell,874636,6.17,1,1
Jahlil Okafor,4788840,6.92,1,1
Alex Poythress,38903,6.58,0,0
Chasson Randle,297311,6.17,0,0
Sergio Rodriguez,8000000,6.25,4,16
Dario Saric,2318280,6.83,0,0
Tiago Splitter,8550000,6.92,6,36
Nik Stauskas,2993040,6.5,2,4
Hollis Thompson,442126,6.67,3,9
Andrew Bogut,242224,7,11,121
Kay Felder,543471,5.75,0,0
Channing Frye,7806971,6.92,10,100
Kyrie Irving,17638063,6.25,5,25
LeBron James,30963450,6.67,13,169
Richard Jefferson,2500000,6.58,15,225
Dahntay Jones,24022,6.5,12,144
James Jones,1551659,6.67,13,169
Kyle Korver,5239437,6.58,13,169
Kevin Love,21165675,6.83,8,64
