Date,Mom   ,Mkt_rf,SMB,HML,RF,QMJ,BAB,Brk_ret,Brk_exret,Mkt,Subperiod
11/30/1976,0.029,0.0036,0.0231,0.0152,0.004,-0.0201,0.0045,0.1544,0.1504,0.0076,1
12/31/1976,0.0078,0.0565,0.03,0.0223,0.004,-0.0089,0.0317,0.1465,0.1425,0.0605,1
1/31/1977,0.0397,-0.0405,0.0478,0.0427,0.0036,-0.0263,0.0407,0,-0.0036,-0.0369,1
2/28/1977,0.0038,-0.0195,0.0108,0.0051,0.0035,0.0207,0.0249,0,-0.0035,-0.016,1
3/31/1977,0.0049,-0.0137,0.0099,0.01,0.0038,-0.0085,0.0123,0.0778,0.074,-0.0099,1
4/30/1977,0.0424,0.0015,-0.0012,0.0344,0.0038,-0.0173,0.0106,-0.0103,-0.0141,0.0053,1
5/31/1977,0.0203,-0.0146,0.0117,0.0086,0.0037,-0.007,0.0104,0.0625,0.0588,-0.0109,1
6/30/1977,0.0181,0.0471,0.0214,-0.0067,0.004,-0.0083,-0.0022,0,-0.004,0.0511,1
7/31/1977,0.0031,-0.0169,0.0212,-0.006,0.0042,0.0092,0.0286,0,-0.0042,-0.0127,1
8/31/1977,-0.0175,-0.0175,0.0151,-0.0279,0.0044,0.0305,0.0034,0.0196,0.0152,-0.0131,1
9/30/1977,0.0203,-0.0027,0.0145,-0.0049,0.0043,0.0035,0.0041,0.0433,0.039,0.0016,1
10/31/1977,-0.0013,-0.0438,0.0127,0.0172,0.0049,0.0105,0.0018,0.0415,0.0366,-0.0389,1
11/30/1977,0.022,0.04,0.0374,0.0029,0.005,-0.0064,0.0028,0.0885,0.0835,0.045,1
12/31/1977,0.0156,0.0027,0.0136,-0.0039,0.0049,0.0037,0.0237,0.1504,0.1455,0.0076,1
1/31/1978,-0.0072,-0.0601,0.0222,0.0331,0.0049,-0.0108,0.0023,-0.0318,-0.0367,-0.0552,1
2/28/1978,0.019,-0.0138,0.0359,0.0075,0.0046,-0.0004,0.0149,0.0037,-0.001,-0.0092,1
3/31/1978,0.0138,0.0285,0.0349,0.0119,0.0053,-0.0143,0.0163,0,-0.0053,0.0338,1
4/30/1978,0.0084,0.0788,0.004,-0.0356,0.0054,0.0303,0.0321,0.1055,0.1001,0.0842,1
5/31/1978,0.0286,0.0176,0.0456,-0.0063,0.0051,0.0053,0.0221,0.1513,0.1462,0.0227,1
6/30/1978,0.0275,-0.0169,0.0172,0.0054,0.0054,-0.0032,0.021,-0.0286,-0.034,-0.0115,1
7/31/1978,0.0419,0.0511,0.0028,-0.0115,0.0056,0.0127,0.0037,0,-0.0056,0.0567,1
8/31/1978,0.0285,0.0375,0.0506,-0.0044,0.0056,0.0064,0.0465,0.0441,0.0385,0.0431,1
9/30/1978,-0.0311,-0.0143,-0.004,0.0188,0.0062,-0.0098,0.0239,0,-0.0062,-0.0081,1
10/31/1978,-0.0836,-0.1191,-0.0991,0.014,0.0068,0.0336,-0.0375,0.062,0.0552,-0.1123,1
11/30/1978,0.0553,0.0271,0.0302,-0.0223,0.007,-0.005,-0.0421,-0.0928,-0.0998,0.0341,1
12/31/1978,0.0303,0.0088,0.0125,-0.022,0.0078,0.0238,0.0022,-0.0819,-0.0897,0.0166,1
1/31/1979,-0.0123,0.0423,0.0365,0.0229,0.0077,-0.0269,0.0334,0.0191,0.0114,0.05,1
2/28/1979,-0.0101,-0.0356,0.0044,0.0121,0.0073,-0.0089,0.0104,0.0188,0.0115,-0.0283,1
3/31/1979,0.0287,0.0568,0.032,-0.007,0.0081,-0.0172,-0.0135,0.1472,0.1391,0.0649,1
4/30/1979,0.0083,-0.0006,0.0218,0.0105,0.008,0.0095,0.0113,0.0374,0.0294,0.0074,1
5/31/1979,-0.0017,-0.0221,0.0056,0.0193,0.0082,-0.0153,-0.0012,0,-0.0082,-0.0139,1
6/30/1979,0.0083,0.0385,0.0116,0.015,0.0081,-0.0294,0.0165,0.1985,0.1904,0.0466,1
7/31/1979,-0.0107,0.0082,0.0131,0.0169,0.0077,0.0057,0.016,0.3548,0.3471,0.0159,1
8/31/1979,-0.0022,0.0553,0.0207,-0.0154,0.0077,0.01,0.0196,0.127,0.1193,0.063,1
9/30/1979,0.0532,-0.0082,-0.0028,-0.0091,0.0083,0.0005,0.0039,-0.0282,-0.0365,1.00E-04,1
10/31/1979,0.0206,-0.081,-0.0333,-0.0187,0.0087,0.0221,-0.047,-0.1739,-0.1826,-0.0723,1
11/30/1979,0.0793,0.0521,0.0273,-0.0323,0.0099,-0.0221,-0.016,0.1228,0.1129,0.062,1
12/31/1979,0.0478,0.0179,0.0422,-0.02,0.0095,-0.0126,0.0084,0.0313,0.0218,0.0274,1
1/31/1980,0.0748,0.0551,0.0168,0.0181,0.008,-0.0274,0.0263,0.0455,0.0375,0.0631,1
2/29/1980,0.079,-0.0122,-0.0181,0.0067,0.0089,-0.02,-0.0153,0,-0.0089,-0.0033,1
3/31/1980,-0.0957,-0.129,-0.0662,-0.0108,0.0121,0.047,-0.0471,-0.2174,-0.2295,-0.1169,1
4/30/1980,-0.0039,0.0397,0.0094,0.0114,0.0126,-0.0337,0.0209,0.0741,0.0615,0.0523,1
5/31/1980,-0.0111,0.0526,0.0216,0.0041,0.0081,0.0069,0.0365,0.1379,0.1298,0.0607,1
6/30/1980,0.0155,0.0306,0.0167,-0.0089,0.0061,-0.0111,0.0369,-0.0606,-0.0667,0.0367,1
7/31/1980,0.0038,0.0649,0.0425,-0.0637,0.0053,0.0351,-0.0094,0.129,0.1237,0.0702,1
8/31/1980,0.0319,0.018,0.0392,-0.0264,0.0064,-0.0012,0.0152,0.1,0.0936,0.0244,1
9/30/1980,0.0542,0.0219,0.0085,-0.0472,0.0075,0.012,0.0129,0.0195,0.012,0.0294,1
10/31/1980,0.0737,0.0106,0.0243,-0.0278,0.0095,0.0046,-0.0022,0.0764,0.0669,0.0201,1
11/30/1980,0.1525,0.0959,-0.0343,-0.084,0.0096,0.01,-0.0626,0.0473,0.0377,0.1055,1
12/31/1980,-0.0663,-0.0452,-0.0026,0.0269,0.0131,0.0089,0.0092,-0.0226,-0.0357,-0.0321,1
1/31/1981,-0.079,-0.0504,0.0301,0.0686,0.0104,-0.0055,0.0471,0.0173,0.0069,-0.04,2
2/28/1981,-0.0139,0.0057,-0.0028,0.0099,0.0107,0.0145,0.0196,0.1193,0.1086,0.0164,2
3/31/1981,0.0076,0.0356,0.0365,0.0066,0.0121,-0.011,0.0367,-0.0051,-0.0172,0.0477,2
4/30/1981,-0.0093,-0.0211,0.0441,0.0227,0.0108,0.0134,0.0567,0.0714,0.0606,-0.0103,2
5/31/1981,0.0377,0.0011,0.0198,-0.0042,0.0115,-0.015,-0.0036,0.0095,-0.002,0.0126,2
6/30/1981,-0.0589,-0.0236,-0.0084,0.0513,0.0135,0.0104,0.0544,-0.0236,-0.0371,-0.0101,2
7/31/1981,-0.0251,-0.0154,-0.0221,-0.006,0.0124,0.0048,-0.0134,-0.0483,-0.0607,-0.003,2
8/31/1981,-0.0113,-0.0704,-0.0193,0.0486,0.0128,0.0055,0.02,0,-0.0128,-0.0576,2
9/30/1981,0.0193,-0.0717,-0.0269,0.052,0.0124,0.0072,-0.0162,-0.0457,-0.0581,-0.0593,2
10/31/1981,0.0402,0.0492,0.0214,-0.042,0.0121,0.0083,-0.0194,0.0957,0.0836,0.0613,2
11/30/1981,-0.0026,0.0336,-0.0099,0.019,0.0107,0.0088,0.0437,0.1456,0.1349,0.0443,2
12/31/1981,0.0133,-0.0365,0.0115,0.0074,0.0087,0.0186,0.0221,-0.0424,-0.0511,-0.0278,2
1/31/1982,0.0171,-0.0324,-0.0145,0.0317,0.008,0.0012,0.0002,-0.0841,-0.0921,-0.0244,2
2/28/1982,0.0501,-0.0586,0.0048,0.0608,0.0092,0.0039,0.0302,0.0097,0.0005,-0.0494,2
3/31/1982,0.0292,-0.0187,-0.0022,0.0378,0.0098,-0.0062,0.0164,-0.067,-0.0768,-0.0089,2
4/30/1982,-0.0044,0.0327,0.0149,-0.0278,0.0113,0.0139,0.0214,0.0615,0.0502,0.044,2
5/31/1982,0.0257,-0.0399,0.0047,0.0182,0.0106,0.0173,0.0248,-0.0097,-0.0203,-0.0293,2
6/30/1982,0.0499,-0.0309,-0.004,0.0156,0.0096,0.0071,-0.0049,-0.0146,-0.0242,-0.0213,2
7/31/1982,0.0446,-0.0319,0.0085,0.0017,0.0105,0.0154,0.0149,-0.0446,-0.0551,-0.0214,2
8/31/1982,-0.0353,0.1114,-0.0409,0.0118,0.0076,-0.0161,-0.0227,0.0207,0.0131,0.119,2
9/30/1982,0.0417,0.0129,0.0286,0.0033,0.0051,0.0257,0.0755,0.132,0.1269,0.018,2
10/31/1982,0.0001,0.113,0.0238,-0.0371,0.0059,-0.0161,0.0278,0.1166,0.1107,0.1189,2
11/30/1982,0.0591,0.0467,0.048,-0.0198,0.0063,0.0181,0.0673,0.1205,0.1142,0.053,2
12/31/1982,0.0005,0.0055,-0.0018,0.0004,0.0067,0.0082,0.0304,0.1219,0.1152,0.0122,2
