"","ad_id","campaign_id","age","gender","interest","Impressions","Clicks","Spent","Total_Conversion","Approved_Conversion","CTR","CPC","CostPerConv_Total","CostPerConv_Approved","CPM"
"1",708746,916,32,0,15,7350,1,1.429999948,2,1,0.0136,1.43,0.715,1.43,0.19
"2",708749,916,32,0,16,17861,2,1.820000023,2,0,0.0112,0.91,0.91,1.820000023,0.1
"3",708771,916,32,0,20,693,0,0,1,0,0,0,0,0,0
"4",708815,916,32,0,28,4259,1,1.25,1,0,0.0235,1.25,1.25,1.25,0.29
"5",708818,916,32,0,28,4133,1,1.289999962,1,1,0.0242,1.29,1.29,1.29,0.31
"6",708820,916,32,0,29,1915,0,0,1,1,0,0,0,0,0
"7",708889,916,32,0,15,15615,3,4.769999981,1,0,0.0192,1.59,4.77,4.769999981,0.31
"8",708895,916,32,0,16,10951,1,1.269999981,1,1,0.0091,1.27,1.27,1.27,0.12
"9",708953,916,32,0,27,2355,1,1.5,1,0,0.0425,1.5,1.5,1.5,0.64
"10",708958,916,32,0,28,9502,3,3.159999967,1,0,0.0316,1.0533,3.16,3.159999967,0.33
"11",708979,916,32,0,31,1224,0,0,1,0,0,0,0,0,0
"12",709023,916,32,0,7,735,0,0,1,0,0,0,0,0,0
"13",709038,916,32,0,16,5117,0,0,1,0,0,0,0,0,0
"14",709040,916,32,0,16,5120,0,0,1,0,0,0,0,0,0
"15",709059,916,32,0,20,14669,7,10.28000021,1,1,0.0477,1.4686,10.28,10.28,0.7
"16",709105,916,32,0,28,1241,0,0,1,1,0,0,0,0,0
"17",709115,916,32,0,30,2305,1,0.569999993,1,0,0.0434,0.57,0.57,0.569999993,0.25
"18",709124,916,32,0,31,1024,0,0,1,1,0,0,0,0,0
"19",709179,916,37,0,15,4627,1,1.690000057,1,0,0.0216,1.69,1.69,1.690000057,0.37
"20",709183,916,37,0,16,21026,4,4.630000114,2,1,0.019,1.1575,2.315,4.63,0.22
"21",709320,916,37,0,15,1422,0,0,1,1,0,0,0,0,0
"22",709323,916,37,0,15,7132,2,2.609999895,1,0,0.028,1.305,2.61,2.609999895,0.37
"23",709326,916,37,0,16,12190,2,3.049999952,1,0,0.0164,1.525,3.05,3.049999952,0.25
"24",709327,916,37,0,16,12193,2,3.059999943,1,1,0.0164,1.53,3.06,3.06,0.25
"25",709328,916,37,0,16,3332,0,0,1,1,0,0,0,0,0
"26",709455,916,37,0,7,559,0,0,1,0,0,0,0,0,0
"27",709544,916,37,0,29,7440,2,2.980000019,1,1,0.0269,1.49,2.98,2.98,0.4
"28",709614,916,42,0,16,19113,4,5.5200001,1,0,0.0209,1.38,5.52,5.5200001,0.29
"29",709756,916,42,0,16,10976,2,1.690000057,1,1,0.0182,0.845,1.69,1.69,0.15
"30",709761,916,42,0,16,2861,0,0,1,0,0,0,0,0,0
"31",709899,916,42,0,15,1398,0,0,1,1,0,0,0,0,0
"32",709901,916,42,0,16,23817,7,8.470000148,1,1,0.0294,1.21,8.47,8.47,0.36
"33",710045,916,47,0,16,47224,12,15.82000017,1,0,0.0254,1.3183,15.82,15.82000017,0.33
"34",710088,916,47,0,24,2283,1,1.470000029,1,0,0.0438,1.47,1.47,1.470000029,0.64
"35",710360,916,47,0,21,2182,1,1.529999971,1,1,0.0458,1.53,1.53,1.53,0.7
"36",710477,916,32,1,16,2654,0,0,1,1,0,0,0,0,0
"37",710480,916,32,1,16,57665,14,18.06999969,1,1,0.0243,1.2907,18.07,18.07,0.31
"38",710571,916,32,1,32,3091,1,1.610000014,1,1,0.0324,1.61,1.61,1.61,0.52
"39",710617,916,32,1,15,5014,1,1.190000057,1,0,0.0199,1.19,1.19,1.190000057,0.24
"40",710623,916,32,1,16,38726,7,9.220000267,1,0,0.0181,1.3171,9.22,9.220000267,0.24
"41",710628,916,32,1,18,1473,0,0,1,0,0,0,0,0,0
"42",710682,916,32,1,27,1186,0,0,1,0,0,0,0,0,0
"43",710763,916,32,1,15,5369,1,1.50999999,1,0,0.0186,1.51,1.51,1.50999999,0.28
"44",710836,916,32,1,29,22221,7,9.430000067,1,1,0.0315,1.3471,9.43,9.43,0.42
"45",710867,916,32,1,63,1185,0,0,1,0,0,0,0,0,0
"46",710880,916,32,1,65,13019,5,6.960000038,1,0,0.0384,1.392,6.96,6.960000038,0.53
"47",710961,916,37,1,25,2508,1,1.220000029,1,0,0.0399,1.22,1.22,1.220000029,0.49
"48",710968,916,37,1,27,5864,2,2.799999952,1,1,0.0341,1.4,2.8,2.8,0.48
"49",711217,916,37,1,20,2783,1,1.600000024,1,0,0.0359,1.6,1.6,1.600000024,0.57
"50",711623,916,42,1,15,3812,1,1.129999995,2,1,0.0262,1.13,0.565,1.13,0.3
"51",711764,916,47,1,10,11199,4,5.730000019,1,1,0.0357,1.4325,5.73,5.73,0.51
"52",711785,916,47,1,19,292,0,0,1,0,0,0,0,0,0
"53",711877,916,47,1,63,17572,7,9.379999995,1,0,0.0398,1.34,9.38,9.379999995,0.53
"54",712052,916,47,1,10,1448,0,0,1,1,0,0,0,0,0
"55",734209,936,32,0,10,1772,0,0,1,1,0,0,0,0,0
"56",734210,936,32,0,10,13329,4,5.629999995,1,1,0.03,1.4075,5.63,5.63,0.42
"57",734215,936,32,0,15,13659,3,3.840000033,1,0,0.022,1.28,3.84,3.840000033,0.28
"58",734243,936,32,0,21,739,0,0,1,1,0,0,0,0,0
"59",734266,936,32,0,25,605,0,0,1,0,0,0,0,0,0
"60",734272,936,32,0,26,1030,0,0,1,0,0,0,0,0,0
"61",734290,936,32,0,29,5374,1,1.039999962,4,0,0.0186,1.04,0.26,1.039999962,0.19
"62",734313,936,32,0,36,790,0,0,1,1,0,0,0,0,0
"63",734314,936,32,0,36,962,0,0,1,0,0,0,0,0,0
"64",734352,936,37,0,10,4423,1,1.460000038,1,1,0.0226,1.46,1.46,1.46,0.33
"65",734361,936,37,0,16,12382,2,2.839999914,1,1,0.0162,1.42,2.84,2.84,0.23
"66",734381,936,37,0,20,2938,1,1.350000024,1,1,0.034,1.35,1.35,1.35,0.46
"67",734399,936,37,0,23,239,0,0,1,0,0,0,0,0,0
"68",734418,936,37,0,26,591,0,0,1,0,0,0,0,0,0
"69",734421,936,37,0,27,10332,4,5.75,1,0,0.0387,1.4375,5.75,5.75,0.56
"70",734427,936,37,0,28,8259,3,3.980000019,1,0,0.0363,1.3267,3.98,3.980000019,0.48
"71",734433,936,37,0,29,12158,3,4.449999928,1,0,0.0247,1.4833,4.45,4.449999928,0.37
"72",734582,936,42,0,29,7709,2,1.320000052,2,0,0.0259,0.66,0.66,1.320000052,0.17
"73",734605,936,42,0,36,834,0,0,1,0,0,0,0,0,0
