Date,Mkt_RF,SMB,HML,RF,UPS,KO
201908,-0.0258,-0.0242,-0.0499,0.0016,-0.006779911,0.04579134
201907,0.0119,-0.0207,0.0014,0.0019,0.156870364,0.041650737
201906,0.0693,0.0033,-0.0108,0.0018,0.122018241,0.036433906
201905,-0.0694,-0.012,-0.0239,0.0021,-0.125211831,0.001426832
201904,0.0396,-0.0168,0.0193,0.0021,-0.049400387,0.056087991
201903,0.011,-0.0313,-0.0407,0.0019,0.02287235,0.033524475
201902,0.034,0.0206,-0.0284,0.0018,0.045540711,-0.057968067
201901,0.0841,0.0301,-0.0062,0.0021,0.080693216,0.016473177
201812,-0.0955,-0.0263,-0.0147,0.0019,-0.147018565,-0.053086962
201811,0.0169,-0.0079,0.0025,0.0018,0.082128798,0.052631691
201810,-0.0768,-0.0476,0.0344,0.0019,-0.087451832,0.045405215
201809,0.0006,-0.0237,-0.013,0.0015,-0.042692962,0.036347307
201808,0.0344,0.0123,-0.0412,0.0016,0.024939497,-0.044177643
201807,0.0319,-0.0215,0.0039,0.0016,0.128588879,0.072624086
201806,0.0048,0.0117,-0.0239,0.0014,-0.077974055,0.020000001
201805,0.0265,0.0524,-0.0316,0.0014,0.023083753,-0.0048599
201804,0.0029,0.0109,0.0053,0.0014,0.084463923,0.003717154
201803,-0.0235,0.0393,-0.0011,0.0012,0.010887771,0.004858797
201802,-0.0365,0.0028,-0.0119,0.0011,-0.17994033,-0.09182599
201801,0.0558,-0.0303,-0.0137,0.0011,0.068569036,0.037271074
201712,0.0106,-0.0126,0.0014,0.0009,-0.01164916,0.010621741
201711,0.0312,-0.0066,-0.0005,0.0008,0.033353148,-0.004567337
201710,0.0225,-0.0194,-0.0006,0.0009,-0.021317322,0.029679203
201709,0.0251,0.0454,0.0303,0.0009,0.057916205,-0.011855018
201708,0.0016,-0.0169,-0.0224,0.0009,0.036902689,-0.006326417
201707,0.0187,-0.014,-0.0028,0.0007,-0.002712746,0.030484694
201706,0.0078,0.0216,0.0132,0.0006,0.051904518,-0.013635286
201705,0.0106,-0.0255,-0.0378,0.0006,-0.013865678,0.053765948
201704,0.0109,0.0073,-0.019,0.0005,0.001491111,0.025703611
201703,0.0017,0.0119,-0.0318,0.0003,0.022344624,0.011439341
201702,0.0357,-0.02,-0.018,0.0004,-0.030880361,0.009381604
201701,0.0194,-0.0102,-0.0278,0.0004,-0.048063675,-0.010238143
201612,0.0182,0.0007,0.036,0.0003,-0.004108219,0.049692289
201611,0.0486,0.0549,0.0827,0.0001,0.075723832,-0.048349167
201610,-0.0202,-0.0437,0.0418,0.0002,-0.014630556,0.010075784
201609,0.0025,0.0202,-0.0148,0.0002,0.008373973,-0.025558364
201608,0.005,0.0115,0.0331,0.0002,0.010360964,-0.004584034
201607,0.0395,0.0265,-0.0113,0.0002,0.003527532,-0.030121712
201606,-0.0005,0.0065,-0.0149,0.0002,0.052928782,0.016367823
201605,0.0178,-0.0026,-0.0181,0.0001,-0.018844734,-0.00446439
201604,0.0092,0.0068,0.0326,0.0001,-0.003792522,-0.026743221
201603,0.0696,0.0088,0.0112,0.0002,0.101124671,0.075585176
201602,-0.0007,0.0078,-0.0048,0.0002,0.035944259,0.004893142
201601,-0.0577,-0.0339,0.021,0.0001,-0.031487147,-0.000931283
201512,-0.0217,-0.0282,-0.0258,0.0001,-0.05926599,0.015707901
201511,0.0056,0.0364,-0.0052,0,-9.70E-05,0.006375316
201510,0.0775,-0.0197,-0.0008,0,0.043874414,0.06472845
201509,-0.0308,-0.0264,0.0052,0,0.01787711,0.020345926
201508,-0.0604,0.0048,0.0268,0,-0.04601402,-0.042843226
201507,0.0154,-0.0414,-0.0412,0,0.056237904,0.055796769
201506,-0.0153,0.0283,-0.0079,0,-0.016057516,-0.042236215
201505,0.0136,0.0087,-0.0137,0,-0.013031143,0.009861889
201504,0.0059,-0.0297,0.0186,0,0.037033076,0.008546145
201503,-0.0112,0.0302,-0.0046,0,-0.040258167,-0.063510256
201502,0.0613,0.0048,-0.0179,0,0.029239354,0.051736802
201501,-0.0311,-0.0056,-0.0347,0,-0.110911184,-0.024869867
201412,-0.0006,0.0254,0.0206,0,0.017649013,-0.051710275
201411,0.0255,-0.0209,-0.0299,0,0.0477551,0.07043956
201410,0.0252,0.0423,-0.0168,0,0.067351906,-0.011132
201409,-0.0197,-0.0383,-0.0123,0,0.016915151,0.022531128
