Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Old,Female,Own,Single,Far,47500,0,High,6,75.5
Middle,Male,Rent,Single,Close,63600,0,High,6,131.8
Young,Female,Rent,Single,Close,13500,0,Low,18,29.6
Middle,Male,Own,Married,Close,85600,1,High,18,243.6
Middle,Female,Own,Single,Close,68400,0,High,12,130.4
Young,Male,Own,Married,Close,30400,0,Low,6,49.5
Middle,Female,Rent,Single,Close,48100,0,Medium,12,78.2
Middle,Male,Own,Single,Close,68400,0,High,18,115.5
Middle,Female,Own,Married,Close,51900,3,Low,6,15.8
Old,Male,Own,Married,Far,80700,0,None,18,303.4
Young,Male,Rent,Married,Close,43700,1,None,12,92.7
Middle,Male,Own,Married,Far,111800,3,High,18,206.5
Middle,Female,Own,Married,Close,44100,1,Medium,24,70.4
Middle,Male,Own,Married,Close,111400,0,High,12,213.6
Old,Female,Own,Married,Far,110000,0,High,24,556.4
Middle,Female,Own,Married,Far,83100,1,None,12,276.6
Old,Female,Own,Married,Close,82800,0,High,24,301
Middle,Male,Own,Married,Close,90100,0,High,18,195.6
Middle,Male,Rent,Single,Close,38600,1,Low,18,54.2
Old,Female,Rent,Single,Far,14000,0,Low,12,41
Young,Female,Rent,Single,Far,14300,2,Low,6,19.4
Young,Male,Rent,Married,Close,49800,0,Medium,12,82.7
Old,Female,Rent,Married,Far,60200,0,High,18,232.8
Young,Male,Rent,Married,Far,43500,1,Medium,12,80.8
Young,Female,Rent,Married,Close,41700,1,None,6,52.1
Middle,Female,Own,Married,Close,92300,3,Low,18,65.5
Middle,Male,Own,Single,Close,62800,3,None,6,70.7
Middle,Female,Rent,Married,Far,72900,0,High,18,207.5
Middle,Female,Rent,Married,Close,66900,2,Medium,12,76.9
Young,Male,Rent,Single,Close,21700,1,None,18,77.4
Old,Female,Rent,Married,Close,39700,0,Medium,12,57.3
Middle,Male,Rent,Married,Far,72200,1,High,12,208.2
Middle,Female,Rent,Married,Close,87700,3,None,24,244.6
Middle,Male,Own,Married,Close,104100,0,High,24,263.6
Middle,Male,Rent,Single,Far,67700,0,High,12,222.6
Middle,Female,Own,Single,Close,27000,2,Low,6,18.3
Middle,Female,Own,Single,Far,64100,2,High,24,159.5
Middle,Male,Rent,Single,Close,47000,1,Medium,12,58.4
Old,Female,Own,Married,Close,41600,0,None,18,98.2
Old,Female,Rent,Single,Close,20100,0,Low,24,57.6
Middle,Male,Own,Single,Close,64000,3,Low,12,41
Middle,Female,Own,Married,Far,96800,3,None,24,308.2
Middle,Male,Rent,Married,Close,76200,1,None,24,243.7
Old,Female,Rent,Married,Far,81500,0,High,18,365.5
Middle,Female,Own,Single,Close,49600,1,Medium,12,84.4
Old,Female,Own,Married,Close,111500,0,High,18,251
Middle,Male,Own,Married,Close,77700,0,None,6,98.3
Young,Male,Own,Married,Close,58900,0,None,18,121.5
Middle,Male,Own,Married,Close,126500,2,High,18,200
Middle,Female,Own,Married,Close,83300,1,High,24,257.4
Middle,Female,Own,Married,Close,90500,1,High,6,111.6
Middle,Female,Own,Married,Far,87200,0,High,18,360.4
Middle,Female,Own,Married,Close,105300,1,None,24,336
Middle,Female,Own,Single,Far,56000,3,Medium,6,53
Middle,Female,Rent,Single,Close,46600,0,Medium,24,90.6
Old,Male,Rent,Married,Close,69800,0,High,24,276.4
Middle,Male,Own,Single,Close,60300,0,High,24,126.3
Young,Male,Rent,Married,Close,67800,0,High,12,108.4
Middle,Male,Rent,Single,Close,42300,0,Medium,24,105.1
Young,Female,Own,Married,Far,33700,0,None,6,61.4
Middle,Male,Own,Single,Close,62700,2,Medium,12,70.4
Young,Female,Own,Single,Close,25900,2,None,12,44.9
Young,Female,Own,Single,Close,15600,1,Low,6,13.6
Old,Female,Own,Single,Close,14600,0,Low,24,46.8
Old,Female,Own,Married,Close,62600,0,High,6,56.5
Young,Male,Rent,Married,Close,66700,0,None,18,131
Middle,Male,Own,Married,Far,72500,0,None,24,259.5
Young,Female,Rent,Single,Far,13200,0,None,24,35.8
Middle,Female,Own,Single,Close,51300,0,Medium,24,142.4
Middle,Male,Own,Single,Far,72300,0,High,24,418.2
Young,Female,Rent,Single,Close,15600,0,None,12,46.8
Middle,Female,Own,Married,Far,90400,1,High,18,292.4
Middle,Male,Own,Single,Far,71500,0,None,6,96.4
Young,Male,Rent,Single,Close,14400,0,None,24,61.5
Young,Male,Rent,Single,Close,15000,3,Low,6,3.8
Middle,Male,Own,Single,Close,57600,1,None,6,100.6
Young,Female,Rent,Married,Close,60600,3,Low,12,30.7
Middle,Male,Own,Married,Far,84300,2,High,18,164.8
Young,Female,Own,Single,Close,24400,1,Low,6,22
Young,Female,Rent,Single,Close,22100,2,Low,18,28
Middle,Male,Rent,Married,Far,48800,2,None,12,164.7
