Date,BrkRet,MKT,RF
11/30/1976,0.1544,0.0076,0.004
12/31/1976,0.1465,0.0605,0.004
1/31/1977,0,-0.0369,0.0036
2/28/1977,0,-0.016,0.0035
3/31/1977,0.0778,-0.0099,0.0038
4/30/1977,-0.0103,0.0053,0.0038
5/31/1977,0.0625,-0.0109,0.0037
6/30/1977,0,0.0511,0.004
7/31/1977,0,-0.0127,0.0042
8/31/1977,0.0196,-0.0131,0.0044
9/30/1977,0.0433,0.0016,0.0043
10/31/1977,0.0415,-0.0389,0.0049
11/30/1977,0.0885,0.045,0.005
12/31/1977,0.1504,0.0076,0.0049
1/31/1978,-0.0318,-0.0552,0.0049
2/28/1978,0.0037,-0.0092,0.0046
3/31/1978,0,0.0338,0.0053
4/30/1978,0.1055,0.0842,0.0054
5/31/1978,0.1513,0.0227,0.0051
6/30/1978,-0.0286,-0.0115,0.0054
7/31/1978,0,0.0567,0.0056
8/31/1978,0.0441,0.0431,0.0056
9/30/1978,0,-0.0081,0.0062
10/31/1978,0.062,-0.1123,0.0068
11/30/1978,-0.0928,0.0341,0.007
12/31/1978,-0.0819,0.0166,0.0078
1/31/1979,0.0191,0.05,0.0077
2/28/1979,0.0188,-0.0283,0.0073
3/31/1979,0.1472,0.0649,0.0081
4/30/1979,0.0374,0.0074,0.008
5/31/1979,0,-0.0139,0.0082
6/30/1979,0.1985,0.0466,0.0081
7/31/1979,0.3548,0.0159,0.0077
8/31/1979,0.127,0.063,0.0077
9/30/1979,-0.0282,1.00E-04,0.0083
10/31/1979,-0.1739,-0.0723,0.0087
11/30/1979,0.1228,0.062,0.0099
12/31/1979,0.0313,0.0274,0.0095
1/31/1980,0.0455,0.0631,0.008
2/29/1980,0,-0.0033,0.0089
3/31/1980,-0.2174,-0.1169,0.0121
4/30/1980,0.0741,0.0523,0.0126
5/31/1980,0.1379,0.0607,0.0081
6/30/1980,-0.0606,0.0367,0.0061
7/31/1980,0.129,0.0702,0.0053
8/31/1980,0.1,0.0244,0.0064
9/30/1980,0.0195,0.0294,0.0075
10/31/1980,0.0764,0.0201,0.0095
11/30/1980,0.0473,0.1055,0.0096
12/31/1980,-0.0226,-0.0321,0.0131
1/31/1981,0.0173,-0.04,0.0104
2/28/1981,0.1193,0.0164,0.0107
3/31/1981,-0.0051,0.0477,0.0121
4/30/1981,0.0714,-0.0103,0.0108
5/31/1981,0.0095,0.0126,0.0115
6/30/1981,-0.0236,-0.0101,0.0135
7/31/1981,-0.0483,-0.003,0.0124
8/31/1981,0,-0.0576,0.0128
9/30/1981,-0.0457,-0.0593,0.0124
10/31/1981,0.0957,0.0613,0.0121
11/30/1981,0.1456,0.0443,0.0107
12/31/1981,-0.0424,-0.0278,0.0087
1/31/1982,-0.0841,-0.0244,0.008
2/28/1982,0.0097,-0.0494,0.0092
3/31/1982,-0.067,-0.0089,0.0098
4/30/1982,0.0615,0.044,0.0113
5/31/1982,-0.0097,-0.0293,0.0106
6/30/1982,-0.0146,-0.0213,0.0096
7/31/1982,-0.0446,-0.0214,0.0105
8/31/1982,0.0207,0.119,0.0076
9/30/1982,0.132,0.018,0.0051
10/31/1982,0.1166,0.1189,0.0059
11/30/1982,0.1205,0.053,0.0063
12/31/1982,0.1219,0.0122,0.0067
1/31/1983,-0.0128,0.0429,0.0069
2/28/1983,0.0874,0.0321,0.0062
3/31/1983,0.1607,0.0345,0.0063
4/30/1983,0.0077,0.0738,0.0071
5/31/1983,0.0127,0.0121,0.0069
6/30/1983,-0.0754,0.0374,0.0067
7/31/1983,0.0408,-0.0333,0.0074
8/31/1983,0.0757,0.0026,0.0076
9/30/1983,0.2087,0.0167,0.0076
10/31/1983,0.0522,-0.0268,0.0076
11/30/1983,0.042,0.0286,0.007
12/31/1983,-0.0293,-0.0105,0.0073
1/31/1984,0.0094,-0.0116,0.0076
2/29/1984,-0.0336,-0.0411,0.0071
3/31/1984,-0.0309,0.0136,0.0073
4/30/1984,0.008,0.003,0.0081
5/31/1984,0.0297,-0.0519,0.0078
6/30/1984,-0.0192,0.0257,0.0075
7/31/1984,-0.0176,-0.0192,0.0082
8/31/1984,0.0399,0.1111,0.0083
9/30/1984,0.0115,0.0006,0.0086
10/31/1984,-0.0038,0.0016,0.01
11/30/1984,-0.0152,-0.0103,0.0073
12/31/1984,-0.0039,0.0248,0.0064
1/31/1985,0.0951,0.0864,0.0065
2/28/1985,0.0674,0.018,0.0058
3/31/1985,0.2176,-0.0022,0.0062
4/30/1985,0.0096,-0.0024,0.0072
5/31/1985,0.0054,0.0575,0.0066
6/30/1985,0.1559,0.0182,0.0055
7/31/1985,-0.0186,-0.0012,0.0062
8/31/1985,-0.0332,-0.0047,0.0055
9/30/1985,0.0147,-0.0394,0.006
10/31/1985,0.2657,0.0467,0.0065
11/30/1985,0.0019,0.0709,0.0061
12/31/1985,-0.059,0.0453,0.0065
1/31/1986,-0.087,0.0121,0.0056
2/28/1986,0.2239,0.0766,0.0053
3/31/1986,0.1304,0.0548,0.006
4/30/1986,-0.0673,-0.0079,0.0052
5/31/1986,-0.0172,0.0511,0.0049
6/30/1986,0.0402,0.0155,0.0052
7/31/1986,-0.0504,-0.0593,0.0052
8/31/1986,0.0265,0.0653,0.0046
9/30/1986,-0.0948,-0.0815,0.0045
10/31/1986,0.0952,0.0512,0.0046
11/30/1986,-0.047,0.0156,0.0039
12/31/1986,0.0292,-0.0278,0.0049
1/31/1987,0.0993,0.1289,0.0042
2/28/1987,0.0839,0.0482,0.0043
3/31/1987,0.0476,0.0211,0.0047
4/30/1987,-0.0398,-0.0167,0.0044
5/31/1987,0.0089,0.0049,0.0038
6/30/1987,0.0264,0.0442,0.0048
7/31/1987,0.1314,0.0431,0.0046
8/31/1987,0.0076,0.0399,0.0047
9/30/1987,0.0576,-0.0214,0.0045
10/31/1987,-0.2121,-0.2264,0.006
11/30/1987,-0.1278,-0.0742,0.0035
12/31/1987,0.0172,0.072,0.0039
1/31/1988,0.0271,0.045,0.0029
2/29/1988,0.0396,0.0521,0.0046
3/31/1988,0.0873,-0.0183,0.0044
4/30/1988,0.1022,0.0102,0.0046
5/31/1988,0.0397,0.0022,0.0051
6/30/1988,0.0573,0.0528,0.0049
7/31/1988,0.0482,-0.0074,0.0051
8/31/1988,-0.0057,-0.0272,0.0059
9/30/1988,0.1098,0.0392,0.0062
10/31/1988,-0.0156,0.0176,0.0061
11/30/1988,-0.0053,-0.0172,0.0057
12/31/1988,0,0.0212,0.0063
1/31/1989,0.0479,0.0665,0.0055
2/28/1989,-0.0406,-0.0164,0.0061
3/31/1989,0.0476,0.0224,0.0067
4/30/1989,0.2677,0.05,0.0067
5/31/1989,0.0239,0.0414,0.0079
6/30/1989,0.0233,-0.0064,0.0071
7/31/1989,0.1407,0.079,0.007
8/31/1989,0.0633,0.0218,0.0074
9/30/1989,0.0815,-0.0011,0.0065
10/31/1989,-0.0133,-0.0299,0.0068
11/30/1989,-0.0306,0.0172,0.0069
12/31/1989,0.0515,0.0177,0.0061
1/31/1990,-0.1406,-0.0728,0.0057
2/28/1990,-0.0309,0.0168,0.0057
3/31/1990,-0.0692,0.0247,0.0064
4/30/1990,-0.0037,-0.0267,0.0069
5/31/1990,0.0672,0.091,0.0068
6/30/1990,0.007,-0.0046,0.0063
7/31/1990,-0.0278,-0.0122,0.0068
