Education,Experience,Salary
HS,2,34.43221768
HS,14,59.15737105
HS,36,113.2701684
HS,16,69.14738866
HS,36,106.0155645
HS,33,58.63412677
HS,36,101.0812957
HS,8,51.32871118
HS,3,58.19682913
HS,21,77.96432753
HS,7,52.18895922
HS,10,61.55594377
HS,40,97.57639133
HS,2,49.62331534
HS,29,100.9374765
HS,9,64.75798453
HS,12,49.02688165
HS,20,64.32738258
HS,12,69.74985563
HS,2,42.55614118
HS,3,51.31281809
HS,13,43.28168152
HS,9,57.16797728
HS,35,97.62847942
HS,26,77.0338726
HS,34,76.15903817
HS,32,103.9462079
HS,32,84.95578947
HS,30,87.21993323
HS,2,39.58162676
HS,14,54.14762132
HS,3,40.57958015
HS,4,31.83259851
HS,32,71.95215283
HS,16,62.80729698
HS,1,48.59588443
HS,1,30.67607954
HS,38,85.09430169
HS,8,41.41944071
HS,28,77.79593697
HS,14,70.0724954
HS,18,46.65144473
HS,18,49.97321887
HS,2,29.59286449
HS,18,90.20723157
HS,12,46.34091343
HS,24,70.00648334
HS,35,100.4768157
HS,31,79.31981131
HS,33,62.60470093
HS,3,31.93611241
HS,30,85.95145755
HS,11,54.8386239
HS,16,65.80462564
HS,1,47.30724511
HS,5,50.38603287
HS,25,77.63145185
HS,3,47.29491268
HS,8,52.62830341
HS,31,86.68985659
HS,34,83.11075377
HS,15,65.67295844
HS,14,63.45540361
HS,6,55.83289918
HS,33,97.54778329
HS,23,85.94303609
HS,34,101.9033536
HS,14,65.08257319
HS,14,76.70227292
HS,1,19.09235537
HS,15,61.23332447
HS,16,67.52689855
HS,1,26.03585729
HS,28,57.10304466
HS,25,69.63994887
HS,30,75.32001407
HS,40,105.6385522
HS,39,97.08884947
HS,17,66.45377123
HS,13,71.0011216
HS,11,50.50644549
HS,7,51.82025806
HS,4,39.54643117
HS,9,64.55181106
HS,14,53.37935839
HS,20,60.83702851
HS,18,70.74838728
HS,1,42.80670434
HS,31,76.39456691
HS,28,83.79531579
HS,31,84.89352263
HS,2,58.21213788
HS,7,43.78884188
HS,22,72.50310621
HS,23,83.90827439
HS,11,59.140493
HS,1,44.27473034
HS,16,67.73375569
HS,5,29.61453506
HS,35,103.3178367
UG,34,124.9570909
UG,26,99.90221386
UG,18,65.71094808
UG,17,75.24076804
UG,40,158.3874135
UG,22,98.34036528
UG,23,91.60393687
UG,26,118.268371
UG,14,75.87167644
UG,26,99.22857323
UG,33,136.8422472
UG,40,154.1538957
UG,27,102.532673
UG,37,144.4406171
UG,35,125.6149292
UG,26,105.8136272
UG,9,68.75396047
UG,15,68.60209144
UG,39,151.6883703
UG,21,93.97018532
UG,25,101.0006071
UG,13,46.94496233
UG,12,67.36348016
UG,4,32.9720114
UG,40,139.1293073
UG,39,145.1269872
UG,7,63.59982181
UG,3,30.95330527
UG,1,42.57837124
UG,3,37.57751887
UG,25,119.9424069
UG,2,35.73765503
UG,14,78.95485137
UG,32,114.6859273
UG,2,29.19803151
UG,4,41.3601955
UG,4,38.13086114
UG,9,59.83660074
UG,33,145.3330554
UG,16,76.79623403
UG,22,86.27888845
UG,28,103.3337037
UG,7,52.43070299
UG,2,39.20982516
UG,31,119.6988896
UG,3,46.31901984
UG,21,70.82375502
UG,22,87.77684762
UG,6,44.91035239
UG,30,112.2460965
UG,3,48.78819832
UG,15,63.21707196
UG,40,156.0039443
UG,8,47.60331516
UG,38,133.6940265
UG,10,42.61487293
UG,13,67.03495756
UG,4,24.81046436
UG,14,70.51261343
UG,30,117.7296443
UG,1,22.70154808
UG,17,87.34999114
UG,3,28.0144848
UG,39,131.3801188
UG,9,34.3141629
UG,34,143.1714581
UG,27,110.8661155
UG,14,70.68589248
UG,31,134.8039534
UG,7,42.49460631
UG,31,124.5457767
UG,31,133.0605557
UG,11,59.94309337
UG,1,31.97573579
UG,15,69.14903058
UG,40,159.2137864
UG,7,82.58260994
UG,38,155.7890577
UG,20,77.36006997
UG,15,67.38946687
UG,7,57.00646257
UG,31,121.7098968
UG,38,130.2404914
UG,16,69.76711258
UG,30,104.568439
UG,4,44.28437287
UG,20,84.02798598
UG,34,135.6404008
UG,27,107.9201337
UG,30,120.0982559
