Date,ContraRet,Market Return,Risk Free
1/31/1980,0.024391,0.0631,0.008
2/29/1980,-0.016874,-0.0033,0.0089
3/31/1980,-0.089431,-0.1169,0.0121
4/30/1980,0.017857,0.0523,0.0126
5/31/1980,0.078947,0.0607,0.0081
6/30/1980,0.011743,0.0367,0.0061
7/31/1980,0.103571,0.0702,0.0053
8/31/1980,0.008091,0.0244,0.0064
9/30/1980,0.036116,0.0294,0.0075
10/31/1980,0.019365,0.0201,0.0095
11/30/1980,0.06459,0.1055,0.0096
12/31/1980,0.019307,-0.0321,0.0131
1/31/1981,0.003092,-0.04,0.0104
2/28/1981,0.050655,0.0164,0.0107
3/31/1981,0.060682,0.0477,0.0121
4/30/1981,0,-0.0103,0.0108
5/31/1981,0.002351,0.0126,0.0115
6/30/1981,-0.003127,-0.0101,0.0135
7/31/1981,-0.03451,-0.003,0.0124
8/31/1981,-0.047116,-0.0576,0.0128
9/30/1981,-0.041773,-0.0593,0.0124
10/31/1981,0.016014,0.0613,0.0121
11/30/1981,0.045534,0.0443,0.0107
12/31/1981,-0.011678,-0.0278,0.0087
1/31/1982,-0.015216,-0.0244,0.008
2/28/1982,-0.033951,-0.0494,0.0092
3/31/1982,-0.007455,-0.0089,0.0098
4/30/1982,0.038627,0.044,0.0113
5/31/1982,-0.047521,-0.0293,0.0106
6/30/1982,-0.023861,-0.0213,0.0096
7/31/1982,-0.043333,-0.0214,0.0105
8/31/1982,0.147503,0.119,0.0076
9/30/1982,0.007085,0.018,0.0051
10/31/1982,0.143719,0.1189,0.0059
11/30/1982,0.01406,0.053,0.0063
12/31/1982,0.002248,0.0122,0.0067
1/31/1983,0.055154,0.0429,0.0069
2/28/1983,0.038087,0.0321,0.0062
3/31/1983,0.046075,0.0345,0.0063
4/30/1983,0.095432,0.0738,0.0071
5/31/1983,-0.004468,0.0121,0.0069
6/30/1983,-0.001496,0.0374,0.0067
7/31/1983,-0.059925,-0.0333,0.0074
8/31/1983,0.007968,0.0026,0.0076
9/30/1983,0.011067,0.0167,0.0076
10/31/1983,-0.039093,-0.0268,0.0076
11/30/1983,0.063466,0.0286,0.007
12/31/1983,0.009219,-0.0105,0.0073
1/31/1984,-0.039654,-0.0116,0.0076
2/29/1984,-0.086338,-0.0411,0.0071
3/31/1984,-0.003115,0.0136,0.0073
4/30/1984,-0.010417,0.003,0.0081
5/31/1984,-0.047368,-0.0519,0.0078
