Date,Mom   ,Mkt_rf,SMB,HML,RF,QMJ,BAB,Contra.rf
1/31/1980,0.0748,0.0551,0.0168,0.0181,0.008,-0.0274,0.0263,0.016
2/29/1980,0.079,-0.0122,-0.0181,0.0067,0.0089,-0.02,-0.0153,-0.026
3/31/1980,-0.0957,-0.129,-0.0662,-0.0108,0.0121,0.047,-0.0471,-0.102
4/30/1980,-0.0039,0.0397,0.0094,0.0114,0.0126,-0.0337,0.0209,0.005
5/31/1980,-0.0111,0.0526,0.0216,0.0041,0.0081,0.0069,0.0365,0.071
6/30/1980,0.0155,0.0306,0.0167,-0.0089,0.0061,-0.0111,0.0369,0.006
7/31/1980,0.0038,0.0649,0.0425,-0.0637,0.0053,0.0351,-0.0094,0.098
8/31/1980,0.0319,0.018,0.0392,-0.0264,0.0064,-0.0012,0.0152,0.002
9/30/1980,0.0542,0.0219,0.0085,-0.0472,0.0075,0.012,0.0129,0.029
10/31/1980,0.0737,0.0106,0.0243,-0.0278,0.0095,0.0046,-0.0022,0.010
11/30/1980,0.1525,0.0959,-0.0343,-0.084,0.0096,0.01,-0.0626,0.055
12/31/1980,-0.0663,-0.0452,-0.0026,0.0269,0.0131,0.0089,0.0092,0.006
1/31/1981,-0.079,-0.0504,0.0301,0.0686,0.0104,-0.0055,0.0471,-0.007
2/28/1981,-0.0139,0.0057,-0.0028,0.0099,0.0107,0.0145,0.0196,0.040
3/31/1981,0.0076,0.0356,0.0365,0.0066,0.0121,-0.011,0.0367,0.049
4/30/1981,-0.0093,-0.0211,0.0441,0.0227,0.0108,0.0134,0.0567,-0.011
5/31/1981,0.0377,0.0011,0.0198,-0.0042,0.0115,-0.015,-0.0036,-0.009
6/30/1981,-0.0589,-0.0236,-0.0084,0.0513,0.0135,0.0104,0.0544,-0.017
7/31/1981,-0.0251,-0.0154,-0.0221,-0.006,0.0124,0.0048,-0.0134,-0.047
8/31/1981,-0.0113,-0.0704,-0.0193,0.0486,0.0128,0.0055,0.02,-0.060
9/30/1981,0.0193,-0.0717,-0.0269,0.052,0.0124,0.0072,-0.0162,-0.054
10/31/1981,0.0402,0.0492,0.0214,-0.042,0.0121,0.0083,-0.0194,0.004
11/30/1981,-0.0026,0.0336,-0.0099,0.019,0.0107,0.0088,0.0437,0.035
12/31/1981,0.0133,-0.0365,0.0115,0.0074,0.0087,0.0186,0.0221,-0.020
1/31/1982,0.0171,-0.0324,-0.0145,0.0317,0.008,0.0012,0.0002,-0.023
2/28/1982,0.0501,-0.0586,0.0048,0.0608,0.0092,0.0039,0.0302,-0.043
3/31/1982,0.0292,-0.0187,-0.0022,0.0378,0.0098,-0.0062,0.0164,-0.017
4/30/1982,-0.0044,0.0327,0.0149,-0.0278,0.0113,0.0139,0.0214,0.027
5/31/1982,0.0257,-0.0399,0.0047,0.0182,0.0106,0.0173,0.0248,-0.058
6/30/1982,0.0499,-0.0309,-0.004,0.0156,0.0096,0.0071,-0.0049,-0.033
7/31/1982,0.0446,-0.0319,0.0085,0.0017,0.0105,0.0154,0.0149,-0.054
8/31/1982,-0.0353,0.1114,-0.0409,0.0118,0.0076,-0.0161,-0.0227,0.140
9/30/1982,0.0417,0.0129,0.0286,0.0033,0.0051,0.0257,0.0755,0.002
10/31/1982,0.0001,0.113,0.0238,-0.0371,0.0059,-0.0161,0.0278,0.138
11/30/1982,0.0591,0.0467,0.048,-0.0198,0.0063,0.0181,0.0673,0.008
12/31/1982,0.0005,0.0055,-0.0018,0.0004,0.0067,0.0082,0.0304,-0.004
1/31/1983,-0.017,0.036,0.0272,-0.0083,0.0069,-0.0223,0.0268,0.048
2/28/1983,0.0384,0.0259,0.0327,0.0072,0.0062,0.0115,0.0833,0.032
3/31/1983,0.0091,0.0282,0.0178,0.0208,0.0063,0.0106,0.0653,0.040
4/30/1983,0.0179,0.0667,0.0052,0.0062,0.0071,-0.0065,0.0467,0.088
5/31/1983,-0.0156,0.0052,0.0613,-0.0141,0.0069,-0.0212,0.0313,-0.011
6/30/1983,0.018,0.0307,0.009,-0.0392,0.0067,0.0213,0.0288,-0.008
7/31/1983,-0.0319,-0.0407,0.0147,0.0565,0.0074,0.0005,0.038,-0.067
8/31/1983,-0.0583,-0.005,-0.0429,0.0555,0.0076,0.0083,-0.0088,0.000
9/30/1983,-0.0015,0.0091,0.0059,0.0112,0.0076,0.0175,0.0347,0.003
10/31/1983,-0.0458,-0.0344,-0.036,0.0508,0.0076,0.0146,0.0348,-0.047
11/30/1983,-0.0007,0.0216,0.0204,-0.0062,0.007,-0.0017,-0.0013,0.056
12/31/1983,0.0078,-0.0178,-0.0029,0.0166,0.0073,0.0191,0.0136,0.002
1/31/1984,-0.0248,-0.0192,-0.0044,0.076,0.0076,-0.022,0.033,-0.047
2/29/1984,0.002,-0.0482,-0.017,0.0335,0.0071,0.0089,-0.0192,-0.093
3/31/1984,0.0109,0.0063,0.0007,0.0049,0.0073,0.0016,-0.0022,-0.010
4/30/1984,0.0207,-0.0051,-0.012,0.0129,0.0081,0.0317,-0.002,-0.019
5/31/1984,0.0164,-0.0597,0.0004,0.0026,0.0078,0.028,0.0176,-0.055
6/30/1984,-0.0069,0.0182,-0.0032,-0.0262,0.0075,0.0219,0.0075,0.008
7/31/1984,0.0294,-0.0274,-0.0222,0.0049,0.0082,0.031,0.0288,-0.062
8/31/1984,-0.057,0.1028,-0.0024,-0.0185,0.0083,-0.0197,0.0001,0.131
9/30/1984,0.0364,-0.008,0.002,0.0533,0.0086,0.0023,0.0444,-0.009
10/31/1984,0.0321,-0.0084,-0.0122,0.005,0.01,0.0213,0.0256,-0.015
11/30/1984,0.0171,-0.0176,-0.006,0.0408,0.0073,0.011,0.0127,-0.014
12/31/1984,0.0156,0.0184,-0.006,-0.0016,0.0064,0.0053,0.0041,0.022
1/31/1985,-0.0692,0.0799,0.0327,-0.0544,0.0065,-0.0136,0.0185,0.089
2/28/1985,0.0181,0.0122,0.0076,-0.0011,0.0058,0.018,0.0474,0.001
3/31/1985,0.0168,-0.0084,-0.0117,0.041,0.0062,-0.0016,0.0331,0.002
4/30/1985,0.0305,-0.0096,0.0015,0.0373,0.0072,0.0047,0.0329,-0.018
5/31/1985,0.0398,0.0509,-0.0224,-0.0085,0.0066,0.004,0.0143,0.013
6/30/1985,0.0363,0.0127,0.0062,0.0062,0.0055,0.0063,0.029,0.001
7/31/1985,-0.0392,-0.0074,0.0285,-0.0168,0.0062,0.0104,-0.0052,0.005
8/31/1985,0.018,-0.0102,-0.0035,0.0227,0.0055,0.0016,0.0074,0.013
9/30/1985,0.0152,-0.0454,-0.0159,0.0133,0.006,0.0304,0.0041,-0.056
10/31/1985,0.0483,0.0402,-0.0156,0.0079,0.0065,0.0043,0.0218,0.047
11/30/1985,-0.0041,0.0648,0.0023,-0.0293,0.0061,0.0191,0.0234,0.047
12/31/1985,-0.0012,0.0388,-0.0051,-0.0159,0.0065,0.0168,0.0319,0.031
1/31/1986,0.0297,0.0065,0.0123,0.0055,0.0056,-0.0195,0.0176,0.003
2/28/1986,0.0274,0.0713,-0.0064,-0.0093,0.0053,0.0146,0.0445,0.093
3/31/1986,0.025,0.0488,-0.0053,-0.0044,0.006,0.0085,0.0448,0.039
4/30/1986,-0.0054,-0.0131,0.0284,-0.0293,0.0052,0.0202,0.0177,-0.024
5/31/1986,0.0201,0.0462,-0.0132,-0.0011,0.0049,0.0091,0.0328,0.020
6/30/1986,0.0518,0.0103,-0.009,0.0141,0.0052,0.0211,0.0504,-0.010
7/31/1986,0.0174,-0.0645,-0.0333,0.0484,0.0052,0.0161,0.0146,-0.079
8/31/1986,-0.0497,0.0607,-0.042,0.0348,0.0046,-0.0201,-0.0163,0.061
9/30/1986,-0.0588,-0.086,0.0228,0.0322,0.0045,-0.0077,-0.0235,-0.064
10/31/1986,0.0266,0.0466,-0.0241,-0.0123,0.0046,0.0062,-0.015,0.062
11/30/1986,-0.0024,0.0117,-0.0193,-0.0008,0.0039,0.0243,-0.0095,-0.004
12/31/1986,0.004,-0.0327,0.0009,0.0033,0.0049,0.0146,-0.0234,-0.018
1/31/1987,0.021,0.1247,-0.018,-0.0317,0.0042,0.0038,0.0352,0.140
2/28/1987,-0.0219,0.0439,0.0348,-0.0598,0.0043,-0.0031,0.0012,0.057
3/31/1987,0.016,0.0164,0.0037,0.0159,0.0047,-0.0059,0.0501,0.012
4/30/1987,0.0023,-0.0211,-0.0169,-0.0031,0.0044,0.0055,0.0007,-0.002
5/31/1987,-0.0064,0.0011,-0.0052,0.0017,0.0038,0.0044,-0.0037,0.005
6/30/1987,-0.0021,0.0394,-0.0221,0.0101,0.0048,0.0124,0.0204,0.032
7/31/1987,0.0268,0.0385,-0.007,0.0063,0.0046,-0.0042,0.0456,0.044
8/31/1987,-0.0088,0.0352,-0.0074,-0.0091,0.0047,0.0293,-0.0048,0.032
9/30/1987,0.0071,-0.0259,0.0052,0.0028,0.0045,-0.0057,0.0028,-0.025
10/31/1987,-0.0784,-0.2324,-0.0838,0.0429,0.006,0.0501,-0.1275,-0.295
11/30/1987,-0.0121,-0.0777,0.0278,0.0314,0.0035,-0.0016,0.0424,-0.059
12/31/1987,0.0582,0.0681,0.0014,-0.0448,0.0039,0.0177,-0.0932,0.055
1/31/1988,-0.0757,0.0421,-0.0076,0.0509,0.0029,-0.0208,0.0375,0.061
2/29/1988,-0.0152,0.0475,0.0333,-0.0168,0.0046,0.0003,-0.0122,0.041
3/31/1988,0.0073,-0.0227,0.0613,0.0071,0.0044,-0.0096,0.0547,-0.003
4/30/1988,0.0227,0.0056,0.0096,0.0168,0.0046,-0.0023,0.0189,0.015
5/31/1988,0.0065,-0.0029,-0.0263,0.0231,0.0051,0.0088,0.0102,-0.019
6/30/1988,-0.0286,0.0479,0.0216,-0.0107,0.0049,-0.0004,-0.0048,0.043
7/31/1988,0.0063,-0.0125,-0.0021,0.0226,0.0051,-0.0039,0.0168,0.002
8/31/1988,0.0032,-0.0331,0.0012,0.0217,0.0059,0.0004,0.0138,-0.028
9/30/1988,0.0022,0.033,-0.0133,-0.007,0.0062,0.0071,-0.0214,0.035
10/31/1988,0.013,0.0115,-0.0289,0.0172,0.0061,0.009,0.0019,0.020
11/30/1988,0.0043,-0.0229,-0.0177,0.0121,0.0057,0.0068,-0.0193,-0.013
12/31/1988,0.0041,0.0149,0.0189,-0.0142,0.0063,0.0092,-0.0248,-0.020
1/31/1989,-0.0015,0.061,-0.0212,0.0053,0.0055,-0.0129,0.0087,0.061
2/28/1989,0.0085,-0.0225,0.0278,0.0094,0.0061,-0.0082,0.0104,-0.012
3/31/1989,0.0354,0.0157,0.0074,0.0049,0.0067,-0.0079,0.021,0.046
4/30/1989,0.0168,0.0433,-0.0055,-0.0145,0.0067,0.0145,0.0086,0.058
5/31/1989,0.0156,0.0335,0.0004,-0.0074,0.0079,0.0013,-0.0043,0.044
6/30/1989,0.0063,-0.0135,-0.0101,0.0218,0.0071,-0.0036,0.0197,-0.013
7/31/1989,0.0545,0.072,-0.0402,-0.0287,0.007,0.0126,0.0088,0.085
8/31/1989,-0.0012,0.0144,0.0047,0.007,0.0074,-0.0011,0.0086,0.021
9/30/1989,0.0342,-0.0076,0.003,-0.0128,0.0065,0.0028,0.0011,0.013
10/31/1989,0.0135,-0.0367,-0.0326,-0.0102,0.0068,0.033,0.0041,-0.037
11/30/1989,0.026,0.0103,-0.0128,-0.0109,0.0069,0.0085,0.0124,0.016
12/31/1989,0.0279,0.0116,-0.0238,0.0027,0.0061,0.0194,-0.0092,0.009
1/31/1990,-0.0328,-0.0785,-0.013,0.0081,0.0057,0.0085,-0.0023,-0.059
2/28/1990,-0.005,0.0111,0.0102,0.0063,0.0057,-0.007,-0.0141,0.015
3/31/1990,0.0166,0.0183,0.0152,-0.0291,0.0064,0.0193,-0.0001,0.016
4/30/1990,0.024,-0.0336,-0.0051,-0.0252,0.0069,0.0278,-0.0243,-0.018
5/31/1990,0.0304,0.0842,-0.0254,-0.0375,0.0068,0.001,-0.0202,0.088
6/30/1990,0.0245,-0.0109,0.014,-0.0202,0.0063,0.016,0.0128,0.007
7/31/1990,0.0593,-0.019,-0.0321,-0.0002,0.0068,0.0228,0.005,-0.026
8/31/1990,0.0175,-0.1015,-0.0359,0.0158,0.0066,0.0156,-0.02,-0.085
9/30/1990,0.0552,-0.0612,-0.0364,0.0077,0.006,0.0433,0.0015,-0.048
10/31/1990,0.0673,-0.0192,-0.0553,0.0024,0.0068,0.0436,-0.0403,-0.002
11/30/1990,-0.0562,0.0635,0.0034,-0.0314,0.0057,-0.0067,-0.0505,0.054
12/31/1990,0.0016,0.0246,0.0078,-0.016,0.006,0.0217,-0.013,0.033
1/31/1991,-0.066,0.0469,0.0381,-0.0183,0.0052,-0.0098,-0.0629,0.092
2/28/1991,-0.0475,0.0719,0.0394,-0.0053,0.0048,-0.0324,0.0155,0.071
3/31/1991,0.0281,0.0265,0.0391,-0.0121,0.0044,-0.0064,0.0113,0.054
4/30/1991,-0.0237,-0.0028,0.0049,0.0137,0.0053,0.0006,0.05,0.000
5/31/1991,-0.0009,0.0365,-0.0033,-0.0056,0.0047,-0.004,0.0115,0.059
6/30/1991,0.0047,-0.0494,0.0007,0.0123,0.0042,0.0242,0.0253,-0.060
7/31/1991,0.0434,0.0424,-0.0094,-0.013,0.0049,0.0016,0.0032,0.066
8/31/1991,0.0161,0.0232,0.0161,-0.0078,0.0046,0.0001,0.0132,0.046
9/30/1991,0.0173,-0.0159,0.0165,-0.0096,0.0046,-0.0116,0.0283,-0.002
10/31/1991,0.0317,0.0129,0.0091,-0.0044,0.0042,-0.0079,0.0233,0.025
11/30/1991,0.0126,-0.0419,-0.0048,-0.0192,0.0039,0.0338,0.0259,-0.057
12/31/1991,0.0829,0.1084,-0.0222,-0.0401,0.0038,0.0174,-0.0328,0.113
1/31/1992,-0.0244,-0.0059,0.0848,0.0456,0.0034,-0.0428,0.0528,0.025
2/29/1992,-0.0063,0.0109,0.0088,0.0637,0.0028,-0.0116,0.0374,0.030
3/31/1992,-0.0034,-0.0266,-0.0104,0.0366,0.0034,0.012,0.0245,-0.031
4/30/1992,-0.0256,0.0107,-0.0612,0.043,0.0032,0.0108,-0.0036,0.008
